baseline.a,from,to,t,p,lower,upper,t2,from_ordered
20,Death,Death,0.4,1,1,1,20.4,NA
20,Healthy,Healthy,0.5,0.9736,0.9686975,0.9769,20.5,Otherwise healthy
20,INT,Healthy,0.5,0,0,0,20.5,INT
20,CMD,Healthy,0.5,0,0,0,20.5,CMD
20,INT->CMD,Healthy,0.5,0,0,0,20.5,INT->CMD
20,CMD->INT,Healthy,0.5,0,0,0,20.5,CMD -> INT
20,CVE,Healthy,0.5,0,0,0,20.5,NA
20,Death,Healthy,0.5,0,0,0,20.5,NA
20,Healthy,INT,0.5,0.0191,0.0161,0.022707499999999995,20.5,Otherwise healthy
20,INT,INT,0.5,0.9885,0.9838975,0.9937024999999999,20.5,INT
20,CMD,INT,0.5,0,0,0,20.5,CMD
20,INT->CMD,INT,0.5,0,0,0,20.5,INT->CMD
20,CMD->INT,INT,0.5,0,0,0,20.5,CMD -> INT
20,CVE,INT,0.5,0,0,0,20.5,NA
20,Death,INT,0.5,0,0,0,20.5,NA
20,Healthy,CMD,0.5,0.0072,0.0056,0.0092,20.5,Otherwise healthy
20,INT,CMD,0.5,0,0,0,20.5,INT
20,CMD,CMD,0.5,0.9624,0.952295,0.9725025,20.5,CMD
20,INT->CMD,CMD,0.5,0,0,0,20.5,INT->CMD
20,CMD->INT,CMD,0.5,0,0,0,20.5,CMD -> INT
20,CVE,CMD,0.5,0,0,0,20.5,NA
20,Death,CMD,0.5,0,0,0,20.5,NA
20,Healthy,INT->CMD,0.5,0,0,4e-4,20.5,Otherwise healthy
20,INT,INT->CMD,0.5,0.0114,0.005897500000000001,0.0154,20.5,INT
20,CMD,INT->CMD,0.5,0,0,0,20.5,CMD
20,INT->CMD,INT->CMD,0.5,0.9994,0.9979,0.9998,20.5,INT->CMD
20,CMD->INT,INT->CMD,0.5,0,0,0,20.5,CMD -> INT
20,CVE,INT->CMD,0.5,0,0,0,20.5,NA
20,Death,INT->CMD,0.5,0,0,0,20.5,NA
20,Healthy,CMD->INT,0.5,0,0,4e-4,20.5,Otherwise healthy
20,INT,CMD->INT,0.5,0,0,0,20.5,INT
20,CMD,CMD->INT,0.5,0.0362,0.0263,0.04640249999999999,20.5,CMD
20,INT->CMD,CMD->INT,0.5,0,0,0,20.5,INT->CMD
20,CMD->INT,CMD->INT,0.5,0.9998,0.9941924999999999,1,20.5,CMD -> INT
20,CVE,CMD->INT,0.5,0,0,0,20.5,NA
20,Death,CMD->INT,0.5,0,0,0,20.5,NA
20,Healthy,CVE,0.5,1e-4,0,3e-4,20.5,Otherwise healthy
20,INT,CVE,0.5,0,0,5e-4,20.5,INT
20,CMD,CVE,0.5,0.0013,3e-4,0.0027,20.5,CMD
20,INT->CMD,CVE,0.5,6e-4,2e-4,0.0021,20.5,INT->CMD
20,CMD->INT,CVE,0.5,2e-4,0,0.005802499999999997,20.5,CMD -> INT
20,CVE,CVE,0.5,1,1,1,20.5,NA
20,Death,CVE,0.5,0,0,0,20.5,NA
20,Healthy,Death,0.5,0,0,1e-4,20.5,Otherwise healthy
20,INT,Death,0.5,1e-4,0,8e-4,20.5,INT
20,CMD,Death,0.5,1e-4,0,0.0013,20.5,CMD
20,INT->CMD,Death,0.5,0,0,3e-4,20.5,INT->CMD
20,CMD->INT,Death,0.5,0,0,3e-4,20.5,CMD -> INT
20,CVE,Death,0.5,0,0,0,20.5,NA
20,Death,Death,0.5,1,1,1,20.5,NA
